"speaker","age","ethnicity","interviewer","logDigit","vowel","consonant","stress","foll_interval","logProp"
"1",40,"White","woman",-0.026343975,"o","s","stressed","consonant",-2.87048355132372
"2",27,"White","woman",-0.0010005,"o","s","stressed","consonant",-2.53225250892368
"3",45,"White","man",-0.011060947,"a","k","stressed","consonant",-1.71508615468564
"4",32,"White","man",-0.049190244,"e","s","stressed","consonant",-2.57911651779502
"3",45,"White","man",-0.011060947,"e","s","stressed","consonant",-3.342301160682
"5",42,"White","woman",0.01093994,"a:","s","stressed","consonant",-3.50916786278923
"1",40,"White","woman",-0.026343975,"t","s","stressed","consonant",-3.45442214272459
"6",44,"White","woman",-0.027371197,"a","s","stressed","consonant",-2.21260950725817
"4",32,"White","man",-0.049190244,"a","s","stressed","consonant",-2.02517868298666
"7",42,"White","woman",-0.071496002,"a","s","stressed","consonant",-1.83053382674396
"8",22,"White","man",-0.021223636,"a","s","stressed","consonant",-2.45818932689129
"4",32,"White","man",-0.049190244,"a","s","stressed","consonant",-1.74242682361471
"9",21,"notWhite","man",-0.058688996,"a","s","stressed","consonant",-2.68470283716183
"5",42,"White","woman",0.01093994,"a","s","stressed","consonant",-2.97153883924239
"10",34,"White","woman",-0.021223636,"a","s","stressed","consonant",-2.39381285965297
"11",33,"White","man",-0.056570351,"a","t","stressed","consonant",-1.3754046039137
"12",22,"White","woman",-0.015113638,"a","tsh","stressed","consonant",-3.09868464157368
"13",29,"White","man",-0.046043939,"a","k","stressed","consonant",-3.58667053264868
"5",42,"White","woman",0.01093994,"a","k","stressed","consonant",-2.4592336461155
"14",44,"White","man",0.074179398,"a","k","stressed","consonant",-2.70779163919225
"15",25,"White","woman",0.024692613,"a","k","stressed","consonant",-1.93183884534484
"13",29,"White","man",-0.046043939,"a","k","stressed","consonant",-1.19187082867764
"16",20,"White","woman",-0.043951888,"a","k","stressed","consonant",-1.38800029834018
"14",44,"White","man",0.074179398,"a","k","stressed","consonant",-1.35674269282161
"13",29,"White","man",-0.046043939,"a","k","stressed","consonant",-1.23125676297146
"17",21,"White","woman",-0.012072581,"a","k","stressed","consonant",-1.61927733709756
"1",40,"White","woman",-0.026343975,"a","k","stressed","consonant",-1.86895829135021
"7",42,"White","woman",-0.071496002,"a","k","stressed","consonant",-1.59040870278447
"18",24,"notWhite","woman",-0.021223636,"a","k","stressed","consonant",-1.66125840627866
"3",45,"White","man",-0.011060947,"a","k","stressed","consonant",-1.45906292724881
"1",40,"White","woman",-0.026343975,"a","k","stressed","consonant",-1.74379514853717
"6",44,"White","woman",-0.027371197,"a","k","stressed","consonant",-1.51105391969731
"19",30,"White","man",0.057136191,"a","k","stressed","consonant",-1.46315994125654
"13",29,"White","man",-0.046043939,"a","k","stressed","consonant",-1.49983560910918
"19",30,"White","man",0.057136191,"a","k","stressed","consonant",-1.10451201086093
"19",30,"White","man",0.057136191,"a","k","stressed","consonant",-1.62823807109442
"11",33,"White","man",-0.056570351,"a","k","stressed","consonant",-1.54982407065664
"19",30,"White","man",0.057136191,"a","k","stressed","consonant",-1.94188352383478
"1",40,"White","woman",-0.026343975,"a","k","stressed","consonant",-2.12678740061812
"19",30,"White","man",0.057136191,"a","k","stressed","consonant",-1.3175725289379
"14",44,"White","man",0.074179398,"a","k","stressed","consonant",-0.959481070852998
"14",44,"White","man",0.074179398,"a","k","stressed","consonant",-1.57385061508162
"14",44,"White","man",0.074179398,"a","k","stressed","consonant",-1.75903612227138
"14",44,"White","man",0.074179398,"a","k","stressed","consonant",-1.38602822466507
"14",44,"White","man",0.074179398,"a","k","stressed","consonant",-1.73348844345674
"4",32,"White","man",-0.049190244,"a","sh","stressed","consonant",-1.42816843378184
"13",29,"White","man",-0.046043939,"a:","th","stressed","consonant",-1.88430692102833
"11",33,"White","man",-0.056570351,"e","s","stressed","consonant",-1.8072079136623
"20",27,"White","man",-0.074723546,"e","s","stressed","consonant",-3.22349224895783
"14",44,"White","man",0.074179398,"e","s","stressed","consonant",-2.60092445965567
"13",29,"White","man",-0.046043939,"e","s","stressed","consonant",-2.25205712155276
"9",21,"notWhite","man",-0.058688996,"e","s","stressed","consonant",-1.79562557010581
"17",21,"White","woman",-0.012072581,"e","s","stressed","consonant",-1.71214184129154
"1",40,"White","woman",-0.026343975,"e","s","stressed","consonant",-1.27446019197051
"6",44,"White","woman",-0.027371197,"e","s","stressed","consonant",-1.89592720418371
