"Participant","Masculine","Feminine","SRIRatio","Androgynous","RIGHT","LeftHand","Averagehand","Identity","Kinsey","Age","Tomboy","yesOrNo","zAge","rightHand","lnRight","lnLeft","test","id","Ethnicity"
"4007 3.03 1.10",69,104,1.51,81,1.065,0.924,0.9945,19.6,1,43,2,0,0.755754354,1.065,0.062974799,-0.079043207,0,"Not Tomboy","white"
"4103 3. 130",86,99,1.15,100,0.987,0.986,0.9865,9.82,2,20,2,0,-0.755754354,0.987,-0.01308524,-0.014098924,0,"Not Tomboy","white"
"4968",95,87,0.92,102,NA,NA,NA,36.9,1,23,1,1,-0.558601044,NA,NA,NA,1,"Tomboy","chinese"
"7335 11.03 1",65,82,1.26,80,0.998,1.012,1.005,32.3,1,45,2,0,0.887189894,0.998,-0.002002003,0.011928571,0,"Not Tomboy","mixed"
"2817",83,92,1.11,78,0.967,0.984,0.9755,31.2,2,35,1,1,0.230012195,0.967,-0.033556784,-0.016129382,1,"Tomboy","white"
"9967",102,76,0.75,83,1.002,1.017,1.0095,0,1,24,1,1,-0.492883274,1.002,0.001998003,0.016857117,1,"Tomboy","white"
"6891",88,91,1.03,88,1,1.031,1.0155,8.6,2,33,1,1,0.098576655,1,0,0.030529205,1,"Tomboy","white"
"7299 26.03",102,84,0.82,82,0.96,0.991,0.9755,12.7,0,21,2,0,-0.690036584,0.96,-0.040821995,-0.009040745,0,"Not Tomboy","white"
"4319 26.03",90,73,0.81,83,0.925,0.96,0.9425,0,1,22,1,1,-0.624318814,0.925,-0.077961541,-0.040821995,1,"Tomboy","white"
"3718 26.03",73,77,1.05,74,0.978,1.005,0.9915,11.5,0,22,1,1,-0.624318814,0.978,-0.022245609,0.004987542,1,"Tomboy","white"
"7683",64,87,1.36,87,1.009,1.003,1.006,1.7,1,19,2,0,-0.821472124,1.009,0.008959741,0.002995509,0,"Not Tomboy","white"
"8393",74,67,0.91,68,0.963,1.009,0.986,1.3,3,18,1,1,-0.887189894,0.963,-0.037701867,0.008959741,1,"Tomboy","white"
